City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,mosetse,-20.75,26.65,23.61,36,1,5.05,BW,1680547165
84,svejbaek,56.1325,9.6329,5.11,68,100,1.84,DK,1680547166
85,hermanus,-34.4187,19.2345,14.89,82,34,1.81,ZA,1680547087
86,provideniya,64.3833,-173.3,-13.56,94,89,3.39,RU,1680547166
87,mortka,59.3322,66.0214,1.36,98,100,1.78,RU,1680547167
88,whitehorse,60.7161,-135.0538,-2.72,60,75,0.45,CA,1680547168
89,port hedland,-20.3167,118.5667,27.03,83,11,0.0,AU,1680547168
90,xining,36.6167,101.7667,1.19,77,100,1.51,CN,1680547157
91,progreso,21.2833,-89.6667,34.5,48,65,4.16,MX,1680547169
92,esperance,-33.8667,121.9,18.63,85,99,2.66,AU,1680546969
93,mata,40.683,-7.4592,12.75,63,100,1.72,PT,1680547169
94,san juan,-31.5375,-68.5364,26.61,38,100,4.43,AR,1680547100
95,talara,-4.5772,-81.2719,29.42,74,40,3.6,PE,1680547170
96,hithadhoo,-0.6,73.0833,28.02,74,100,4.43,MV,1680546997
97,hualmay,-11.0964,-77.6139,27.17,70,93,4.35,PE,1680547170
98,bengkulu,-3.8004,102.2655,23.77,91,100,2.26,ID,1680547170
99,coquimbo,-29.9533,-71.3436,16.85,88,75,5.66,CL,1680547171
100,qaanaaq,77.484,-69.3632,-21.74,75,6,1.67,GL,1680547057
101,vardo,70.3705,31.1107,-2.01,80,99,15.43,NO,1680547161
102,bambous virieux,-20.3428,57.7575,26.23,83,40,3.09,MU,1680547034
103,ketchikan,55.3422,-131.6461,5.26,70,75,3.09,US,1680546944
104,kathmandu,27.7167,85.3167,15.47,78,20,1.54,NP,1680546873
105,bonoua,5.2741,-3.595,27.79,81,8,3.06,CI,1680547172
106,mutoko,-17.397,32.2268,17.61,76,45,2.54,ZW,1680547173
107,sechelt,49.4664,-123.7694,9.0,69,82,1.66,CA,1680547173
108,tiksi,71.6872,128.8694,-13.95,96,78,3.5,RU,1680547067
109,saldanha,-33.0117,17.9442,17.03,85,8,4.31,ZA,1680546992
110,zaltbommel,51.8,5.25,7.36,60,8,3.44,NL,1680547174
111,kiunga,-6.1219,141.2906,22.28,100,100,0.66,PG,1680547174
112,jasper,37.2001,-94.3502,27.15,50,0,5.14,US,1680547175
113,vaini,-21.2,-175.2,24.09,88,20,3.6,TO,1680547046
114,zelenets,61.8849,50.7489,1.14,91,100,4.29,RU,1680547175
115,cidreira,-30.1811,-50.2056,23.55,63,40,5.42,BR,1680547125
116,barrow,71.2906,-156.7887,-16.99,85,75,5.14,US,1680547000
117,alvik,60.7477,14.8746,0.3,96,100,1.07,SE,1680547176
118,salalah,17.0151,54.0924,29.05,74,20,1.54,OM,1680547176
119,isla vista,34.4133,-119.861,16.57,32,0,6.69,US,1680547177
120,butaritari,3.0707,172.7902,27.74,80,100,8.13,KI,1680547013
121,lagoa,39.05,-27.9833,14.5,71,100,6.16,PT,1680547177
122,morant bay,17.8815,-76.4093,30.39,70,23,5.87,JM,1680547178
123,naze,28.3667,129.4833,17.51,61,100,9.02,JP,1680547178
124,flin flon,54.7682,-101.865,-12.09,48,20,1.54,CA,1680547178
125,vostok,46.4856,135.8833,3.68,88,100,2.46,RU,1680547179
126,podgornoye,51.735,39.1496,9.12,87,0,1.0,RU,1680547180
127,farafangana,-22.8167,47.8333,24.04,86,27,1.28,MG,1680547180
128,lianzhou,24.7811,112.3825,21.31,99,100,1.98,CN,1680547180
129,talaya,61.3833,152.75,-28.71,92,63,1.8,RU,1680547180
130,dingle,10.9995,122.6711,24.02,88,100,2.81,PH,1680547181
131,klaksvik,62.2266,-6.589,8.51,89,100,10.7,FO,1680547181
132,aklavik,68.2191,-135.0107,-11.91,86,91,0.94,CA,1680547098
133,yerbogachen,61.2767,108.0108,-5.54,94,100,5.6,RU,1680547182
134,tutoia,-2.7619,-42.2744,26.77,82,60,2.77,BR,1680546972
135,nalut,30.3333,10.85,14.43,25,0,4.49,LY,1680547182
136,skjervoy,70.0311,20.9714,3.0,82,100,7.45,NO,1680547182
137,merauke,-8.4667,140.3333,24.24,90,99,2.23,ID,1680546982
138,lata,40.1629,-8.3327,14.9,70,100,2.38,PT,1680547183
139,hervey bay,-25.2986,152.8535,21.03,89,13,5.75,AU,1680547079
140,uusikaupunki,60.8004,21.4084,-3.62,88,12,2.77,FI,1680547184
141,entre rios,-11.9419,-38.0844,29.12,54,54,4.61,BR,1680547184
142,gimli,50.6336,-96.9907,-9.99,62,100,7.72,CA,1680547184
143,valdivia,-39.8142,-73.2459,19.05,34,0,1.32,CL,1680547155
144,vila franca do campo,37.7167,-25.4333,15.23,65,32,2.7,PT,1680547185
145,kodiak,57.79,-152.4072,0.73,93,100,2.57,US,1680547131
146,dakar,14.6937,-17.4441,26.49,83,20,4.12,SN,1680546939
147,corleone,37.8134,13.3017,11.58,94,100,3.11,IT,1680547185
148,sibolga,1.7427,98.7792,24.43,87,100,1.0,ID,1680547186
149,barabai,-2.5833,115.3833,23.13,98,100,0.5,ID,1680547186
150,tilichiki,60.4667,166.1,-12.09,95,100,4.71,RU,1680547186
151,yeppoon,-23.1333,150.7333,20.88,84,51,3.92,AU,1680547187
152,midland,31.9974,-102.0779,30.74,7,0,11.32,US,1680547138
153,bredasdorp,-34.5322,20.0403,16.76,79,25,1.93,ZA,1680546974
154,san patricio,28.017,-97.5169,33.42,52,99,7.01,US,1680547188
155,cherskiy,68.75,161.3,-24.41,90,100,3.81,RU,1680547188
156,lavrentiya,65.5833,-171.0,-15.18,93,98,3.22,RU,1680547116
157,marawi,7.9986,124.2928,19.66,96,30,0.49,PH,1680547088
158,georgetown,5.4112,100.3354,25.97,89,20,0.0,MY,1680547002
159,carlisle,40.2015,-77.1889,18.78,45,100,0.89,US,1680547126
160,severo-kurilsk,50.6789,156.125,-0.09,94,69,5.73,RU,1680547163
161,omboue,-1.5746,9.2618,26.02,84,100,3.15,GA,1680547190
162,dikson,73.5069,80.5464,-25.89,100,100,4.61,RU,1680547032
163,corn island,12.1694,-83.0418,26.75,76,95,7.86,NI,1680547190
164,lieksa,63.3167,30.0167,-10.51,94,12,2.49,FI,1680547191
165,dubai,25.2582,55.3047,22.96,56,0,4.63,AE,1680546494
166,kapaa,22.0752,-159.319,22.99,90,100,2.06,US,1680546970
